"book_id","isbn","authors","original_publication_year","original_title","title","language_code","image_url"
450,"451457811","Jim Butcher",2000,"Storm Front","Storm Front (The Dresden Files, #1)","en-US","https://images.gr-assets.com/books/1419456275m/47212.jpg"
451,"1593082649","Jane Austen, Alfred MacAdam",1817,"Northanger Abbey","Northanger Abbey","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
452,"399162410","Rick Yancey",2013,"The 5th Wave","The 5th Wave (The 5th Wave, #1)","eng","https://images.gr-assets.com/books/1359853842m/16101128.jpg"
453,"802142842","Charles Frazier",1997,"Cold Mountain","Cold Mountain","en-US","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
454,"60245867","Laura Joffe Numeroff, Felicia Bond",1985,"If You Give a Mouse a Cookie","If You Give a Mouse a Cookie","en-US","https://images.gr-assets.com/books/1276046901m/767680.jpg"
455,"312323867","Emily Giffin",2005,"Something Blue","Something Blue (Darcy & Rachel, #2)","en-US","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
456,"822210894","Tennessee Williams",1947,"A Streetcar Named Desire","A Streetcar Named Desire","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
457,"751537284","Elizabeth Kostova",2005,"The Historian","The Historian","eng","https://images.gr-assets.com/books/1338298031m/10692.jpg"
458,"385353308","Emily St. John Mandel",2014,"Station Eleven","Station Eleven","eng","https://images.gr-assets.com/books/1451446835m/20170404.jpg"
459,"1476738017","Fredrik Backman, Henning Koch",2012,"En man som heter Ove","A Man Called Ove","eng","https://images.gr-assets.com/books/1405259930m/18774964.jpg"
460,"1406321346","Cassandra Clare",2013,"Clockwork Princess","Clockwork Princess (The Infernal Devices, #3)","eng","https://images.gr-assets.com/books/1436788488m/18335634.jpg"
461,"1416500189","Pearl S. Buck",1931,"The Good Earth","The Good Earth (House of Earth, #1)","eng","https://images.gr-assets.com/books/1312497600m/1078.jpg"
462,"140135154","John Berger",1972,"Ways of Seeing","Ways of Seeing","eng","https://images.gr-assets.com/books/1464018308m/2784.jpg"
463,"385335970","Diana Gabaldon",1992,"Dragonfly in Amber","Dragonfly in Amber (Outlander, #2)","eng","https://images.gr-assets.com/books/1456114344m/5364.jpg"
464,"nan","Anonymous",1611,"nan","Holy Bible: King James Version","eng","https://images.gr-assets.com/books/1313518530m/1923820.jpg"
465,"743495667","Jennifer Weiner",2002,"In Her Shoes","In Her Shoes","nan","https://images.gr-assets.com/books/1435252471m/14758.jpg"
466,"345368584","Chuck Dixon, J.R.R. Tolkien, David Wenzel, Sean Deming",1989,"The Hobbit","The Hobbit: Graphic Novel","eng","https://images.gr-assets.com/books/1374681632m/659469.jpg"
467,"1594489580","Junot Díaz",2007,"The Brief Wondrous Life of Oscar Wao","The Brief Wondrous Life of Oscar Wao","eng","https://images.gr-assets.com/books/1391409748m/297673.jpg"
468,"61120065","Zora Neale Hurston",1937,"Their Eyes Were Watching God","Their Eyes Were Watching God","eng","https://images.gr-assets.com/books/1368072803m/37415.jpg"
469,"439321603","Newt Scamander, J.K. Rowling, Albus Dumbledore",2001,"Fantastic Beasts and Where to Find Them","Fantastic Beasts and Where to Find Them","eng","https://images.gr-assets.com/books/1303738520m/41899.jpg"
470,"316322407","Malala Yousafzai, Christina Lamb",2012,"I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban","I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban","eng","https://images.gr-assets.com/books/1375414895m/17851885.jpg"
471,"141439807","Jane Austen, Kathryn Sutherland, Tony Tanner, Claire Lamont",1814,"Mansfield Park","Mansfield Park","eng","https://images.gr-assets.com/books/1397063295m/45032.jpg"
472,"080701429X","Viktor E. Frankl",1946,"…trotzdem Ja zum Leben sagen: Ein Psychologe erlebt das Konzentrationslager","Man's Search for Meaning","eng","https://images.gr-assets.com/books/1467136625m/4069.jpg"
473,"670038601","Tana French",2007,"In the Woods","In the Woods (Dublin Murder Squad, #1)","eng","https://images.gr-assets.com/books/1348442606m/237209.jpg"
474,"618680004","Richard Dawkins",2006,"The God Delusion","The God Delusion","eng","https://images.gr-assets.com/books/1347220693m/14743.jpg"
475,"525422943","Gayle Forman",2011,"Where She Went","Where She Went (If I Stay, #2)","en-US","https://images.gr-assets.com/books/1347810457m/8492825.jpg"
476,"345915593","John Irving",1978,"The World According to Garp","The World According to Garp","eng","https://images.gr-assets.com/books/1447234581m/7069.jpg"
477,"515141429","Lee Child",1997,"Killing Floor","Killing Floor (Jack Reacher, #1)","eng","https://images.gr-assets.com/books/1399313258m/78129.jpg"
478,"375757325","Daniel Defoe, Gerald McCann, Virginia Woolf",1719,"The Life and Strange Surprising Adventures of Robinson Crusoe of York, Mariner","Robinson Crusoe","eng","https://images.gr-assets.com/books/1403180114m/2932.jpg"
479,"937832383","Niccolò Machiavelli, Adolph Caso, Rufus Goodwin, Benjamin Martinez",1513,"Il Principe","The Prince","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
480,"440238153","Philip Pullman",2000,"The Amber Spyglass","The Amber Spyglass (His Dark Materials, #3)","eng","https://images.gr-assets.com/books/1329189152m/18122.jpg"
481,"765346524","Terry Goodkind",1994,"Wizard's First Rule","Wizard's First Rule (Sword of Truth, #1)","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
482,"1439153663","Kathleen Grissom",2010,"The Kitchen House","The Kitchen House","en-CA","https://images.gr-assets.com/books/1463229128m/6837103.jpg"
483,"316769029","J.D. Salinger",1961,"Franny and Zooey","Franny and Zooey","en-US","https://images.gr-assets.com/books/1355037988m/5113.jpg"
484,"385720920","Chuck Palahniuk",2001,"Choke","Choke","eng","https://images.gr-assets.com/books/1403186013m/29059.jpg"
485,"374528373","Fyodor Dostoyevsky, Richard Pevear, Larissa Volokhonsky",1880,"Братья Карамазовы","The Brothers Karamazov","eng","https://images.gr-assets.com/books/1427728126m/4934.jpg"
486,"375822747","Jeanne DuPrau",2003,"The City of Ember","The City of Ember (Book of Ember, #1)","eng","https://images.gr-assets.com/books/1397931596m/307791.jpg"
487,"60541814","Michael Crichton",1969,"The Andromeda Strain","The Andromeda Strain","nan","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
488,"451933028","Stephen King",1996,"The Green Mile","The Green Mile","eng","https://images.gr-assets.com/books/1373903563m/11566.jpg"
489,"000100039X","Kahlil Gibran",1923,"The Prophet","The Prophet","eng","https://images.gr-assets.com/books/1355046521m/2547.jpg"
490,"394541553","Art Spiegelman",1985,"Maus: A Survivor's Tale : My Father Bleeds History","Maus I: A Survivor's Tale: My Father Bleeds History (Maus, #1)","eng","https://images.gr-assets.com/books/1327884972m/15196.jpg"
491,"312379838","P.C. Cast, Kristin Cast",2008,"Untamed: A House of Night Novel","Untamed (House of Night, #4)","en-US","https://images.gr-assets.com/books/1438037020m/2866718.jpg"
492,"812550757","Orson Scott Card",1986,"Speaker for the Dead","Speaker for the Dead (Ender's Saga, #2)","en-US","https://images.gr-assets.com/books/1295660894m/7967.jpg"
493,"684823780","C.S. Lewis",1952,"Mere Christianity","Mere Christianity","eng","https://images.gr-assets.com/books/1468102872m/11138.jpg"
494,"1400031702","Donna Tartt",1992,"The Secret History","The Secret History","eng","https://images.gr-assets.com/books/1451554846m/29044.jpg"
495,"375725784","Dave Eggers",2000,"A Heartbreaking Work of Staggering Genius","A Heartbreaking Work of Staggering Genius","eng","https://images.gr-assets.com/books/1327714834m/4953.jpg"
496,"553381679","Jean M. Auel",1980,"The Clan of the Cave Bear","The Clan of the Cave Bear (Earth's Children, #1)","eng","https://images.gr-assets.com/books/1385331302m/1295.jpg"
497,"439228905","Anna Sewell",1877,"Black Beauty","Black Beauty","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
498,"192833987","Leo Tolstoy, Henry Gifford, Aylmer Maude, Louise Maude",1869,"Война и миръ","War and Peace","eng","https://images.gr-assets.com/books/1413215930m/656.jpg"
499,"679735771","Bret Easton Ellis",1991,"American Psycho","American Psycho","eng","https://images.gr-assets.com/books/1436934349m/28676.jpg"
500,"613371658","Meg Cabot",2000,"The Princess Diaries","The Princess Diaries (The Princess Diaries, #1)","eng","https://images.gr-assets.com/books/1355011082m/38980.jpg"
501,"1400034779","Alexander McCall Smith",1998,"The No. 1 Ladies' Detective Agency ","The No. 1 Ladies' Detective Agency  (No. 1 Ladies' Detective Agency, #1)","eng","https://images.gr-assets.com/books/1459953654m/7061.jpg"
502,"1582406723","Robert Kirkman, Tony Moore",2004,"The Walking Dead, Vol. 1: Days Gone Bye","The Walking Dead, Vol. 01: Days Gone Bye","en-GB","https://images.gr-assets.com/books/1389233242m/138398.jpg"
503,"451457994","Arthur C. Clarke",1968,"2001: A Space Odyssey","2001: A Space Odyssey (Space Odyssey, #1)","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
504,"1590525132","Francine Rivers",1991,"nan","Redeeming Love","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
505,"842342702","Tim LaHaye, Jerry B. Jenkins",1995,"Left Behind:  A Novel of the Earth's Last Days","Left Behind (Left Behind, #1)","eng","https://images.gr-assets.com/books/1406505054m/27523.jpg"
506,"62059998","Kiera Cass",2014,"The One","The One (The Selection, #3)","eng","https://images.gr-assets.com/books/1395612906m/18635016.jpg"
507,"545265355","Suzanne Collins",2010,"The Hunger Games Box Set","The Hunger Games Trilogy Boxset (The Hunger Games, #1-3)","eng","https://images.gr-assets.com/books/1360094673m/7938275.jpg"
508,"805063897","Barbara Ehrenreich",2001,"Nickel and Dimed: On (Not) Getting By in America","Nickel and Dimed: On (Not) Getting By in America","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
509,"593053893","Sophie Kinsella",2008,"Remember Me?","Remember Me?","eng","https://images.gr-assets.com/books/1276963901m/1358844.jpg"
510,"812517725","Robert Jordan",1990,"The Great Hunt","The Great Hunt (Wheel of Time, #2)","en-US","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
511,"743477154","Patricia Cornwell",1990,"Post-Mortem:  A Mystery Introducing Dr. Kay Scarpetta","Postmortem (Kay Scarpetta, #1)","eng","https://images.gr-assets.com/books/1341835831m/6534.jpg"
512,"385074077","Edgar Allan Poe",1849,"The Complete Tales of Edgar Allan Poe","The Complete Stories and Poems","en-US","https://images.gr-assets.com/books/1327942676m/23919.jpg"
513,"553256696","Corrie ten Boom, John Sherrill, Elizabeth Sherrill",1971,"The Hiding Place","The Hiding Place: The Triumphant True Story of Corrie Ten Boom","en-US","https://images.gr-assets.com/books/1320418824m/561909.jpg"
514,"192835084","Arthur Conan Doyle",1892,"The Adventures of Sherlock Holmes","The Adventures of Sherlock Holmes","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
515,"553381547","Pat Conroy",1986,"The Prince of Tides","The Prince of Tides","eng","https://images.gr-assets.com/books/1320541074m/16735.jpg"
516,"312282990","Michael Chabon",2000,"The Amazing Adventures of Kavalier & Clay","The Amazing Adventures of Kavalier & Clay","eng","https://images.gr-assets.com/books/1479660066m/3985.jpg"
517,"802798233","Simone Elkeles",2008,"Perfect Chemistry","Perfect Chemistry (Perfect Chemistry, #1)","eng","https://images.gr-assets.com/books/1439792475m/4268157.jpg"
518,"805072454","J.M. Barrie, Michael Hague",1904,"Peter Pan","Peter Pan","en-US","https://images.gr-assets.com/books/1337714526m/34268.jpg"
519,"689865392","Scott Westerfeld",2005,"Pretties","Pretties (Uglies, #2)","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
520,"965341984","Haruki Murakami, Jay Rubin",1994,"ねじまき鳥クロニクル [Nejimakidori kuronikuru]","The Wind-Up Bird Chronicle","eng","https://images.gr-assets.com/books/1327872639m/11275.jpg"
521,"739465511","Michael Connelly",2005,"The Lincoln Lawyer ","The Lincoln Lawyer (Mickey Haller, #1; Harry Bosch Universe, #16)","eng","https://images.gr-assets.com/books/1370140049m/79885.jpg"
522,"375507256","David Mitchell",2004,"Cloud Atlas","Cloud Atlas","eng","https://images.gr-assets.com/books/1406383769m/49628.jpg"
523,"767902890","Tim O'Brien",1990,"The Things They Carried","The Things They Carried","en-US","https://images.gr-assets.com/books/1424663847m/133518.jpg"
524,"1844137872","Banksy",1988,"Wall and Piece","Wall and Piece","eng","https://images.gr-assets.com/books/1327904853m/114683.jpg"
525,"006197806X","Lauren Oliver",2012,"Pandemonium","Pandemonium (Delirium, #2)","eng","https://images.gr-assets.com/books/1310371414m/9593911.jpg"
526,"307277887","Jeff Lindsay",2004,"Darkly Dreaming Dexter","Darkly Dreaming Dexter (Dexter, #1)","eng","https://images.gr-assets.com/books/1334404607m/17231.jpg"
527,"1841493007","Charlaine Harris",2002,"Living Dead in Dallas","Living Dead in Dallas (Sookie Stackhouse, #2)","eng","https://images.gr-assets.com/books/1329501808m/110494.jpg"
528,"765305119","Robert Jordan",1991,"The Dragon Reborn ","The Dragon Reborn (Wheel of Time, #3)","eng","https://images.gr-assets.com/books/1480096580m/34897.jpg"
529,"141439491","Jonathan Swift, Robert DeMaria Jr.",1726,"Gulliver’s Travels","Gulliver's Travels","eng","https://images.gr-assets.com/books/1427829692m/7733.jpg"
530,"743482751","William Shakespeare, Barbara A. Mowat, Paul Werstine, Gail Kern Paster, Robert          Jackson",1598,"Much Ado About Nothing","Much Ado About Nothing","eng","https://images.gr-assets.com/books/1327885569m/12957.jpg"
531,"393320979","Unknown, Seamus Heaney",975,"Beowulf","Beowulf","en-US","https://images.gr-assets.com/books/1327878125m/52357.jpg"
532,"1401207529","Frank Miller, David Mazzucchelli, Richmond Lewis, Dennis O'Neil",1987,"Batman: Year One","Batman: Year One","eng","https://images.gr-assets.com/books/1327940389m/59980.jpg"
533,"62409859","Harper Lee",2015,"Go Set a Watchman","Go Set a Watchman","eng","https://images.gr-assets.com/books/1451442088m/24817626.jpg"
534,"316143472","David Sedaris",2008,"When You Are Engulfed in Flames","When You Are Engulfed in Flames","en-US","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
535,"316134023","Laini Taylor",2011,"Daughter of Smoke & Bone","Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)","eng","https://images.gr-assets.com/books/1461353773m/8490112.jpg"
536,"1409151174","Victoria Aveyard",2015,"Red Queen","Red Queen (Red Queen, #1)","eng","https://images.gr-assets.com/books/1411472322m/17878931.jpg"
537,"1400069289","Charles Duhigg",2011,"The Power of Habit","The Power of Habit: Why We Do What We Do in Life and Business","eng","https://images.gr-assets.com/books/1366758683m/12609433.jpg"
538,"679751521","John Berendt",1994,"Midnight in the Garden of Good and Evil","Midnight in the Garden of Good and Evil","eng","https://images.gr-assets.com/books/1427166915m/386187.jpg"
539,"1301949825","Colleen Hoover",2012,"Hopeless","Hopeless (Hopeless, #1)","eng","https://images.gr-assets.com/books/1353489892m/15717943.jpg"
540,"142437018","Frances Hodgson Burnett, Nancy Bond",1905,"A Little Princess","A Little Princess","eng","https://images.gr-assets.com/books/1327868556m/3008.jpg"
541,"142406252","Sarah Dessen",2004,"The Truth About Forever","The Truth About Forever","en-US","https://images.gr-assets.com/books/1362767907m/51737.jpg"
542,"439861365","C.S. Lewis",1954,"The horse and his boy","The Horse and His Boy (Chronicles of Narnia, #5)","eng","https://images.gr-assets.com/books/1388210968m/84119.jpg"
543,"1595143068","Richelle Mead",2010,"Last Sacrifice ","Last Sacrifice (Vampire Academy, #6)","eng","https://images.gr-assets.com/books/1319850978m/6527740.jpg"
544,"64400026","Laura Ingalls Wilder, Garth Williams",1935,"Little House on the Prairie","Little House on the Prairie (Little House, #2)","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
545,"380002558","Margery Williams Bianco, William   Nicholson",1922,"The Velveteen Rabbit","The Velveteen Rabbit","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
546,"60589469","Robert M. Pirsig",1974,"Zen and the Art of Motorcycle Maintenance","Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values","eng","https://images.gr-assets.com/books/1410136019m/629.jpg"
547,"375759239","H.G. Wells, Arthur C. Clarke",1897,"The War of the Worlds","The War of the Worlds","eng","https://images.gr-assets.com/books/1320391644m/8909.jpg"
548,"60887303","Sara Shepard",2006,"Pretty Little Liars","Pretty Little Liars (Pretty Little Liars, #1)","en-US","https://images.gr-assets.com/books/1377830522m/162085.jpg"
549,"670241334","Don Freeman",1948,"Corduroy","Corduroy","en-US","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
550,"1594200823","Michael Pollan",2006,"The Omnivore's Dilemma","The Omnivore's Dilemma: A Natural History of Four Meals","eng","https://images.gr-assets.com/books/1393804353m/3109.jpg"
551,"316176486","Kate Atkinson",2013,"Life After Life","Life After Life","eng","https://images.gr-assets.com/books/1358173808m/15790842.jpg"
552,"446696129","Nicholas Sparks",2000,"The Rescue","The Rescue","en-US","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
553,"045057458X","Stephen King",1991,"Needful Things","Needful Things","nan","https://images.gr-assets.com/books/1315767817m/107291.jpg"
554,"385335997","Diana Gabaldon",1993,"Voyager","Voyager (Outlander, #3)","eng","https://images.gr-assets.com/books/1483278195m/10987.jpg"
555,"393315053","Kenneth Branagh, William Shakespeare",1996,"nan","Hamlet: Screenplay, Introduction And Film Diary","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
557,"747560595","Jeffrey Eugenides",1993,"The Virgin Suicides","The Virgin Suicides","eng","https://images.gr-assets.com/books/1319032910m/10956.jpg"
558,"441012183","Charlaine Harris",2004,"Dead to the World","Dead to the World (Sookie Stackhouse, #4)","eng","https://images.gr-assets.com/books/1468561630m/140077.jpg"
559,"141439599","Thomas Hardy, Tim Dolin, Margaret R. Higonnet",1891,"Tess of the d'Urbervilles: A Pure Woman Faithfully Presented","Tess of the D'Urbervilles","eng","https://images.gr-assets.com/books/1497218117m/32261.jpg"
560,"192840398","Gustave Flaubert, Margaret Mauldon, Malcolm Bowie, Mark Overstall",1856,"Madame Bovary","Madame Bovary","eng","https://images.gr-assets.com/books/1335676143m/2175.jpg"
561,"394820371","Norton Juster, Jules Feiffer",1961,"The Phantom Tollbooth","The Phantom Tollbooth","en-US","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
562,"765326353","Brandon Sanderson",2010,"The Way of Kings","The Way of Kings (The Stormlight Archive, #1)","eng","https://images.gr-assets.com/books/1388184640m/7235533.jpg"
563,"1841493015","Charlaine Harris",2003,"Club Dead","Club Dead (Sookie Stackhouse, #3)","en-GB","https://images.gr-assets.com/books/1329501590m/140082.jpg"
564,"078685197X","Ned Vizzini",2006,"It's Kind of a Funny Story","It's Kind of a Funny Story","en-US","https://images.gr-assets.com/books/1420629730m/248704.jpg"
565,"765316889","Brandon Sanderson",2007,"nan","The Well of Ascension (Mistborn, #2)","eng","https://images.gr-assets.com/books/1480717596m/68429.jpg"
566,"nan","Jojo Moyes",2015,"After You","After You (Me Before You, #2)","eng","https://images.gr-assets.com/books/1429029729m/25041504.jpg"
567,"034552554X","Vanessa Diffenbaugh",2011,"The Language of Flowers","The Language of Flowers","eng","https://images.gr-assets.com/books/1333577674m/10032672.jpg"
568,"156389341X","Frank Miller, Klaus Janson, Lynn Varley",1986,"Batman: The Dark Knight Returns","Batman: The Dark Knight Returns (The Dark Knight Saga, #1)","eng","https://images.gr-assets.com/books/1327892039m/59960.jpg"
569,"446617792","James Patterson",2005,"The Angel Experiment","The Angel Experiment (Maximum Ride, #1)","eng","https://images.gr-assets.com/books/1339277875m/13152.jpg"
570,"1573225517","Nick Hornby",1995,"High Fidelity","High Fidelity","eng","https://images.gr-assets.com/books/1327928082m/285092.jpg"
571,"446696110","Nicholas Sparks",2003,"The Guardian","The Guardian","en-US","https://images.gr-assets.com/books/1388195339m/15925.jpg"
572,"385721676","Margaret Atwood",2003,"Oryx and Crake","Oryx and Crake (MaddAddam, #1)","eng","https://images.gr-assets.com/books/1494109986m/46756.jpg"
573,"60574216","John Gray",1998,"Men Are from Mars, Women Are from Venus Book of Days: 365 Inspirations to Enrich Your Relationships","Men Are from Mars, Women Are from Venus","en-US","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
574,"60899220","Anthony Bourdain",2000,"Kitchen Confidential: Adventures in the Culinary Underbelly","Kitchen Confidential: Adventures in the Culinary Underbelly","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
575,"99244721","Michael Crichton",1999,"Timeline","Timeline","en-US","https://images.gr-assets.com/books/1405420745m/7669.jpg"
576,"486266893","Voltaire",1759,"Candide","Candide","eng","https://images.gr-assets.com/books/1345060082m/19380.jpg"
577,"374480095","Natalie Babbitt",1975,"Tuck Everlasting","Tuck Everlasting","eng","https://images.gr-assets.com/books/1445184695m/84981.jpg"
578,"2253147699","Stephen King, Marie Milpois",1983,"Christine","Christine","fre","https://images.gr-assets.com/books/1327270815m/10629.jpg"
579,"1713221","P.D. Eastman",1960,"Are You My Mother?","Are You My Mother?","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
580,"071483355X","E.H. Gombrich",1950,"The Story of Art","The Story of Art","en-US","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
581,"312642962","Marissa Meyer",2013,"Scarlet","Scarlet (The Lunar Chronicles, #2)","eng","https://images.gr-assets.com/books/1470056982m/13206760.jpg"
582,"751532711","Robert T. Kiyosaki",1997,"Rich Dad , Poor Dad","Rich Dad, Poor Dad","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
583,"1442426640","Becca Fitzpatrick",2011,"Silence ","Silence (Hush, Hush, #3)","eng","https://images.gr-assets.com/books/1362408152m/10637766.jpg"
584,"670020559","Lev Grossman",2009,"The Magicians","The Magicians (The Magicians #1)","eng","https://images.gr-assets.com/books/1313772941m/6101718.jpg"
585,"1421501686","Tsugumi Ohba, Takeshi Obata",2004,"デスノート #1 (Desu Nōto) Taikutsu (退屈)","Death Note, Vol. 1: Boredom (Death Note, #1)","eng","https://images.gr-assets.com/books/1419952134m/13615.jpg"
586,"689875347","Libba Bray",2003,"A Great and Terrible Beauty","A Great and Terrible Beauty (Gemma Doyle, #1)","eng","https://images.gr-assets.com/books/1284558475m/3682.jpg"
587,"60529709","Jonathan Safran Foer",2002,"Everything Is Illuminated","Everything Is Illuminated","eng","https://images.gr-assets.com/books/1479774440m/256566.jpg"
588,"752863886","Robert Ludlum",1986,"The Bourne Supremacy","The Bourne Supremacy (Jason Bourne, #2)","en-US","https://images.gr-assets.com/books/1335860600m/15769.jpg"
589,"425266745","Tammara Webber",2012,"Easy","Easy (Contours of the Heart, #1)","en-CA","https://images.gr-assets.com/books/1349370267m/16056408.jpg"
590,"140439447","Charles Dickens, Jeremy Tambling",1849,"David Copperfield","David Copperfield","eng","https://images.gr-assets.com/books/1461452762m/58696.jpg"
591,"316013684","Sherman Alexie, Ellen Forney",2007,"The Absolutely True Diary of a Part-Time Indian","The Absolutely True Diary of a Part-Time Indian","eng","https://images.gr-assets.com/books/1327908992m/693208.jpg"
592,"679760806","Mikhail Bulgakov, Katherine Tiernan O'Connor, Diana Burgin, Ellendea Proffer",1967,"Мастер и Маргарита","The Master and Margarita","eng","https://images.gr-assets.com/books/1327867963m/117833.jpg"
593,"553383043","Ursula K. Le Guin",1968,"A Wizard of Earthsea","A Wizard of Earthsea (Earthsea Cycle, #1)","en-US","https://images.gr-assets.com/books/1353424536m/13642.jpg"
594,"763616052","Kate DiCamillo, Chris Sheban",2000,"Because of Winn-Dixie","Because of Winn-Dixie","eng","https://images.gr-assets.com/books/1456871914m/357664.jpg"
595,"743253973","John Knowles",1959,"A Separate Peace","A Separate Peace","en-US","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
596,"385339607","John Grisham",1995,"The Rainmaker","The Rainmaker","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
597,"142437239","Miguel de Cervantes Saavedra, Roberto González Echevarría, John Rutherford",1605,"Don Quijote de La Mancha","Don Quixote","eng","https://images.gr-assets.com/books/1364958765m/3836.jpg"
598,"6480098","Robin Hobb",1995,"Assassin's Apprentice","Assassin's Apprentice (Farseer Trilogy, #1)","eng","https://images.gr-assets.com/books/1320339497m/45107.jpg"
599,"345418921","Douglas Adams",1980,"The Restaurant at the End of the Universe","The Restaurant at the End of the Universe (Hitchhiker's Guide, #2)","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
600,"385739141","Lauren Kate",2010,"Torment","Torment (Fallen, #2)","eng","https://images.gr-assets.com/books/1362339749m/7740152.jpg"
601,"723247706","Beatrix Potter",1901,"The Tale of Peter Rabbit","The Tale of Peter Rabbit","eng","https://images.gr-assets.com/books/1485118382m/19321.jpg"
1592,"99556316","Michael Crichton",1996,"Airframe","Airframe","eng","https://images.gr-assets.com/books/1405420599m/7667.jpg"
602,"64405044","C.S. Lewis, Pauline Baynes",1953,"The Silver Chair","The Silver Chair (Chronicles of Narnia, #4)","eng","https://images.gr-assets.com/books/1336139237m/65641.jpg"
603,"765316897","Brandon Sanderson",2008,"The Hero of Ages","The Hero of Ages (Mistborn, #3)","eng","https://images.gr-assets.com/books/1480717763m/2767793.jpg"
604,"679746048","Susanna Kaysen",1993,"Girl, Interrupted","Girl, Interrupted","eng","https://images.gr-assets.com/books/1475482930m/68783.jpg"
605,"61173398","Chelsea Handler",2007,"Are You There, Vodka? It's Me, Chelsea","Are You There, Vodka? It's Me, Chelsea","nan","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
606,"743278909","Richard Bach, Russell Munson",1970,"Jonathan Livingston Seagull","Jonathan Livingston Seagull","en-US","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
607,"1481426303","Cassandra Clare",2014,"City of Heavenly Fire","City of Heavenly Fire (The Mortal Instruments, #6)","eng","https://images.gr-assets.com/books/1460477794m/8755785.jpg"
608,"920668372","Robert Munsch, Sheila McGraw",1986,"Love You Forever","Love You Forever","en-GB","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
609,"1416524517","Stephen King",2006,"Cell","Cell","en-US","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
610,"067002581X","Daniel James Brown",2013,"The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics","The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics","eng","https://images.gr-assets.com/books/1354683116m/16158542.jpg"
